"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"ED_Tube_time",3.00000000000267,3.00000000000098,2.99999999999977,3.00000000000004,2.99999999999997,2.99999999999998,3,3,2.99999999999999,3,3,2.99999999999995,3,3.00000000000001,3
"ED_Samp",24.8393895678171,24.9378922893998,30.2886866233383,28.7529090386314,27.0639552468253,28.3057982890848,25.5309158655271,33.1384088426073,22.3567774492328,27.5189295319972,19.2960963721264,28.3589864757023,30.9407332689123,30.3120986759938,7.35111147540301
"ED_Vol",10.0908355566468,9.84915242024954,4.49283697104156,5.28047229959535,7.49267488113504,4.65118085915594,8.34823908133642,0.595341237716709,8.63757811535675,4.37349097165332,8.67391849226953,5.58316439091784,1.70125477750328e-06,2.77899770491735,6.13173572251032
